cardName,tagName,pokemonGeneration,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,patternType,isLegendary,isMythical,isStarter,isEeveelution,isWaifuTrainer,marketPrice,logMarketPrice,isExCard,isParadoxPokemon,isPaldeanStarter,isSVBoxLegendary,isSecretNumber,isTrainerPokemon,isPromo,isMasterBall,isTerastal
Volcanion,Volcanion,gen6,025/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Normal,none,False,True,False,False,False,0.1,-2.302585,False,False,False,False,False,False,False,False,False
Volcanion,Volcanion,gen6,025/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Reverse Holofoil,none,False,True,False,False,False,0.21,-1.560648,False,False,False,False,False,False,False,False,False
Scorbunny,Scorbunny,gen8,026/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,True,False,False,0.08,-2.525729,False,False,False,False,False,False,False,False,False
Scorbunny,Scorbunny,gen8,026/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Raboot,Raboot,gen8,027/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Common,Normal,none,False,False,True,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Raboot,Raboot,gen8,027/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Cinderace,Cinderace,gen8,028/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 2,Rare,Holofoil,none,False,False,True,False,False,0.14,-1.966113,False,False,False,False,False,False,False,False,False
Cinderace,Cinderace,gen8,028/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 2,Rare,Reverse Holofoil,none,False,False,True,False,False,0.21,-1.560648,False,False,False,False,False,False,False,False,False
Sizzlipede,Sizzlipede,gen8,029/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732,False,False,False,False,False,False,False,False,False
Sizzlipede,Sizzlipede,gen8,029/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Centiskorch,Centiskorch,gen8,030/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Centiskorch,Centiskorch,gen8,030/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Chi-Yu,Chi-Yu,gen9,031/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Normal,none,True,False,False,False,False,0.07,-2.65926,False,False,False,False,False,False,False,False,False
Chi-Yu,Chi-Yu,gen9,031/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Reverse Holofoil,none,True,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Mantine,Mantine,gen2,032/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.08,-2.525729,False,False,False,False,False,False,False,False,False
Mantine,Mantine,gen2,032/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.2,-1.609438,False,False,False,False,False,False,False,False,False
Corphish,Corphish,gen3,033/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Corphish,Corphish,gen3,033/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.1,-2.302585,False,False,False,False,False,False,False,False,False
Kyogre,Kyogre,gen3,034/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Rare,Holofoil,none,True,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Kyogre,Kyogre,gen3,034/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Rare,Reverse Holofoil,none,True,False,False,False,False,0.22,-1.514128,False,False,False,False,False,False,False,False,False
Snover - 035/132,Snover,gen4,035/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Snover - 035/132,Snover,gen4,035/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Mega Abomasnow ex - 036/132,Abomasnow,gen4,036/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,0.54,-0.616186,True,False,False,False,False,False,False,False,False
Clauncher,Clauncher,gen6,037/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Clauncher,Clauncher,gen6,037/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Clawitzer - 038/132,Clawitzer,gen6,038/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Rare,Holofoil,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Clawitzer - 038/132,Clawitzer,gen6,038/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Rare,Reverse Holofoil,none,False,False,False,False,False,0.2,-1.609438,False,False,False,False,False,False,False,False,False
Sobble,Sobble,gen8,039/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,True,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Sobble,Sobble,gen8,039/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Drizzile,Drizzile,gen8,040/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Common,Normal,none,False,False,True,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Drizzile,Drizzile,gen8,040/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.22,-1.514128,False,False,False,False,False,False,False,False,False
Inteleon - 041/132,Inteleon,gen8,041/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 2,Uncommon,Normal,none,False,False,True,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Inteleon - 041/132,Inteleon,gen8,041/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 2,Uncommon,Reverse Holofoil,none,False,False,True,False,False,0.16,-1.832581,False,False,False,False,False,False,False,False,False
Snom,Snom,gen8,042/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Snom,Snom,gen8,042/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Frosmoth,Frosmoth,gen8,043/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Frosmoth,Frosmoth,gen8,043/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Eiscue,Eiscue,gen8,044/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Eiscue,Eiscue,gen8,044/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113,False,False,False,False,False,False,False,False,False
Magnemite,Magnemite,gen1,045/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Magnemite,Magnemite,gen1,045/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.16,-1.832581,False,False,False,False,False,False,False,False,False
Magneton,Magneton,gen1,046/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Normal,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Magneton,Magneton,gen1,046/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731,False,False,False,False,False,False,False,False,False
Magnezone,Magnezone,gen4,047/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 2,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Magnezone,Magnezone,gen4,047/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 2,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Raikou,Raikou,gen2,048/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Rare,Holofoil,none,True,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Raikou,Raikou,gen2,048/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Rare,Reverse Holofoil,none,True,False,False,False,False,0.21,-1.560648,False,False,False,False,False,False,False,False,False
Raikou - 048/132 (Cosmos Holo),Raikou,gen2,048/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Promo,Holofoil,none,True,False,False,False,False,0.3,-1.203973,False,False,False,False,False,False,True,False,False
Electrike,Electrike,gen3,049/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Electrike,Electrike,gen3,049/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Mega Manectric ex - 050/132,Manectric,gen3,050/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,0.62,-0.478036,True,False,False,False,False,False,False,False,False
Pachirisu,Pachirisu,gen4,051/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Pachirisu,Pachirisu,gen4,051/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Helioptile - 052/132,Helioptile,gen6,052/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946,False,False,False,False,False,False,False,False,False
Helioptile - 052/132,Helioptile,gen6,052/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798,False,False,False,False,False,False,False,False,False
Heliolisk,Heliolisk,gen6,053/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Normal,none,False,False,False,False,False,0.07,-2.65926,False,False,False,False,False,False,False,False,False
Heliolisk,Heliolisk,gen6,053/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113,False,False,False,False,False,False,False,False,False
Abra,Abra,gen1,054/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.16,-1.832581,False,False,False,False,False,False,False,False,False
Abra,Abra,gen1,054/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.26,-1.347074,False,False,False,False,False,False,False,False,False
Kadabra,Kadabra,gen1,055/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Kadabra,Kadabra,gen1,055/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.28,-1.272966,False,False,False,False,False,False,False,False,False
Alakazam,Alakazam,gen1,056/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 2,Rare,Holofoil,none,False,False,False,False,False,0.2,-1.609438,False,False,False,False,False,False,False,False,False
Alakazam,Alakazam,gen1,056/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 2,Rare,Reverse Holofoil,none,False,False,False,False,False,0.32,-1.139434,False,False,False,False,False,False,False,False,False
Jynx,Jynx,gen1,057/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Jynx,Jynx,gen1,057/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.12,-2.120264,False,False,False,False,False,False,False,False,False
Ralts,Ralts,gen3,058/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.2,-1.609438,False,False,False,False,False,False,False,False,False
Ralts,Ralts,gen3,058/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.24,-1.427116,False,False,False,False,False,False,False,False,False
Kirlia,Kirlia,gen3,059/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Common,Normal,none,False,False,False,False,False,0.25,-1.386294,False,False,False,False,False,False,False,False,False
Kirlia,Kirlia,gen3,059/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.29,-1.237874,False,False,False,False,False,False,False,False,False
Mega Gardevoir ex - 060/132,Gardevoir,gen3,060/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 2,Double Rare,Holofoil,none,False,False,False,False,False,0.59,-0.527633,True,False,False,False,False,False,False,False,False
Shedinja - 061/132,Shedinja,gen3,061/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.07,-2.65926,False,False,False,False,False,False,False,False,False
Shedinja - 061/132,Shedinja,gen3,061/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.23,-1.469676,False,False,False,False,False,False,False,False,False
Spoink,Spoink,gen3,062/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
Spoink,Spoink,gen3,062/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Grumpig,Grumpig,gen3,063/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.05,-2.995732,False,False,False,False,False,False,False,False,False
Grumpig,Grumpig,gen3,063/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.12,-2.120264,False,False,False,False,False,False,False,False,False
Xerneas,Xerneas,gen6,064/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Rare,Holofoil,none,True,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Xerneas,Xerneas,gen6,064/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Rare,Reverse Holofoil,none,True,False,False,False,False,0.16,-1.832581,False,False,False,False,False,False,False,False,False
Greavard,Greavard,gen9,065/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.08,-2.525729,False,False,False,False,False,False,False,False,False
Greavard,Greavard,gen9,065/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957,False,False,False,False,False,False,False,False,False
Houndstone - 066/132,Houndstone,gen9,066/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.07,-2.65926,False,False,False,False,False,False,False,False,False
Houndstone - 066/132,Houndstone,gen9,066/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113,False,False,False,False,False,False,False,False,False
Gimmighoul,Gimmighoul,gen9,067/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876,False,False,False,False,False,False,False,False,False
Gimmighoul,Gimmighoul,gen9,067/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.11,-2.207275,False,False,False,False,False,False,False,False,False
Sandshrew,Sandshrew,gen1,068/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.13,-2.040221,False,False,False,False,False,False,False,False,False
Sandshrew,Sandshrew,gen1,068/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.22,-1.514128,False,False,False,False,False,False,False,False,False
Sandslash,Sandslash,gen1,069/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Normal,none,False,False,False,False,False,0.06,-2.813411,False,False,False,False,False,False,False,False,False
