setName,pricechartingTitle,pricechartingCardName,pricechartingCardNumber,pricechartingVariant,pricechartingUrl
Fire Red And Leaf Green,Raichu #12,Raichu,12,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/raichu-12
Fire Red And Leaf Green,Squirtle #82,Squirtle,82,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/squirtle-82
Fire Red And Leaf Green,Magikarp #67,Magikarp,67,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/magikarp-67
Fire Red And Leaf Green,Charmander [Reverse Holo] #57,Charmander,57,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmander-reverse-holo-57
Fire Red And Leaf Green,Ditto [Reverse Holo] #4,Ditto,4,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/ditto-reverse-holo-4
Fire Red And Leaf Green,Mr. Mime EX #110,Mr. Mime EX,110,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/mr-mime-ex-110
Fire Red And Leaf Green,Marowak #7,Marowak,7,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/marowak-7
Fire Red And Leaf Green,Bulbasaur [Reverse Holo] #54,Bulbasaur,54,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/bulbasaur-reverse-holo-54
Fire Red And Leaf Green,Charmeleon #31,Charmeleon,31,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmeleon-31
Fire Red And Leaf Green,Slowpoke #80,Slowpoke,80,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/slowpoke-80
Fire Red And Leaf Green,Electrode EX #107,Electrode EX,107,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/electrode-ex-107
Fire Red And Leaf Green,Haunter [Reverse Holo] #34,Haunter,34,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/haunter-reverse-holo-34
Fire Red And Leaf Green,Charmander [Reverse Holo] #58,Charmander,58,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmander-reverse-holo-58
Fire Red And Leaf Green,Pikachu [Reverse Holo] #74,Pikachu,74,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pikachu-reverse-holo-74
Fire Red And Leaf Green,Gastly [Reverse Holo] #63,Gastly,63,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/gastly-reverse-holo-63
Fire Red And Leaf Green,Rapidash #13,Rapidash,13,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/rapidash-13
Fire Red And Leaf Green,Bulbasaur [Reverse Holo] #55,Bulbasaur,55,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/bulbasaur-reverse-holo-55
Fire Red And Leaf Green,Nidoqueen #9,Nidoqueen,9,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoqueen-9
Fire Red And Leaf Green,Arcanine [Reverse Holo] #18,Arcanine,18,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/arcanine-reverse-holo-18
Fire Red And Leaf Green,Charmander #57,Charmander,57,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmander-57
Fire Red And Leaf Green,Butterfree #2,Butterfree,2,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/butterfree-2
Fire Red And Leaf Green,Ivysaur #35,Ivysaur,35,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/ivysaur-35
Fire Red And Leaf Green,Cubone [Reverse Holo] #60,Cubone,60,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/cubone-reverse-holo-60
Fire Red And Leaf Green,Scyther [Reverse Holo] #29,Scyther,29,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/scyther-reverse-holo-29
Fire Red And Leaf Green,Charmeleon [Reverse Holo] #31,Charmeleon,31,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/charmeleon-reverse-holo-31
Fire Red And Leaf Green,Poliwrath #11,Poliwrath,11,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/poliwrath-11
Fire Red And Leaf Green,Blastoise EX [World Championship] #104,Blastoise EX [World Championship],104,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/blastoise-ex-world-championship-104
Fire Red And Leaf Green,Raichu [Reverse Holo] #12,Raichu,12,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/raichu-reverse-holo-12
Fire Red And Leaf Green,Kangaskhan #6,Kangaskhan,6,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/kangaskhan-6
Fire Red And Leaf Green,Jigglypuff [Reverse Holo] #65,Jigglypuff,65,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/jigglypuff-reverse-holo-65
Fire Red And Leaf Green,Arcanine #18,Arcanine,18,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/arcanine-18
Fire Red And Leaf Green,Nidoking [Reverse Holo] #8,Nidoking,8,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoking-reverse-holo-8
Fire Red And Leaf Green,Wartortle #50,Wartortle,50,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/wartortle-50
Fire Red And Leaf Green,Haunter #34,Haunter,34,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/haunter-34
Fire Red And Leaf Green,Exeggutor #5,Exeggutor,5,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/exeggutor-5
Fire Red And Leaf Green,Wartortle [Reverse Holo] #50,Wartortle,50,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/wartortle-reverse-holo-50
Fire Red And Leaf Green,Slowbro [Reverse Holo] #14,Slowbro,14,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/slowbro-reverse-holo-14
Fire Red And Leaf Green,Paras #72,Paras,72,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/paras-72
Fire Red And Leaf Green,Dewgong #3,Dewgong,3,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/dewgong-3
Fire Red And Leaf Green,Jigglypuff #65,Jigglypuff,65,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/jigglypuff-65
Fire Red And Leaf Green,Wartortle [Prerelease] #50,Wartortle [Prerelease],50,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/wartortle-prerelease-50
Fire Red And Leaf Green,Ivysaur [Reverse Holo] #35,Ivysaur,35,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/ivysaur-reverse-holo-35
Fire Red And Leaf Green,Persian [Reverse Holo] #44,Persian,44,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/persian-reverse-holo-44
Fire Red And Leaf Green,Slowpoke [Reverse Holo] #80,Slowpoke,80,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/slowpoke-reverse-holo-80
Fire Red And Leaf Green,Clefairy [Reverse Holo] #59,Clefairy,59,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/clefairy-reverse-holo-59
Fire Red And Leaf Green,Victreebel #17,Victreebel,17,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/victreebel-17
Fire Red And Leaf Green,Clefairy #59,Clefairy,59,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/clefairy-59
Fire Red And Leaf Green,Tauros #16,Tauros,16,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/tauros-16
Fire Red And Leaf Green,Gastly #63,Gastly,63,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/gastly-63
Fire Red And Leaf Green,Hypno [Reverse Holo] #25,Hypno,25,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/hypno-reverse-holo-25
Fire Red And Leaf Green,Growlithe #64,Growlithe,64,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/growlithe-64
Fire Red And Leaf Green,Scyther #29,Scyther,29,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/scyther-29
Fire Red And Leaf Green,Magnemite #68,Magnemite,68,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/magnemite-68
Fire Red And Leaf Green,Marowak [Reverse Holo] #7,Marowak,7,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/marowak-reverse-holo-7
Fire Red And Leaf Green,Dugtrio [Reverse Holo] #22,Dugtrio,22,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/dugtrio-reverse-holo-22
Fire Red And Leaf Green,Ponyta [Reverse Holo] #76,Ponyta,76,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/ponyta-reverse-holo-76
Fire Red And Leaf Green,Lickitung #37,Lickitung,37,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/lickitung-37
Fire Red And Leaf Green,Butterfree [Reverse Holo] #2,Butterfree,2,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/butterfree-reverse-holo-2
Fire Red And Leaf Green,Lickitung [Reverse Holo] #37,Lickitung,37,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/lickitung-reverse-holo-37
Fire Red And Leaf Green,Nidoran [Reverse Holo] #71,Nidoran,71,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoran-reverse-holo-71
Fire Red And Leaf Green,Poliwrath [Reverse Holo] #11,Poliwrath,11,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/poliwrath-reverse-holo-11
Fire Red And Leaf Green,Pidgeot [Reverse Holo] #10,Pidgeot,10,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pidgeot-reverse-holo-10
Fire Red And Leaf Green,Growlithe [Reverse Holo] #64,Growlithe,64,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/growlithe-reverse-holo-64
Fire Red And Leaf Green,Meowth [Reverse Holo] #69,Meowth,69,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/meowth-reverse-holo-69
Fire Red And Leaf Green,Chansey [Reverse Holo] #19,Chansey,19,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/chansey-reverse-holo-19
Fire Red And Leaf Green,Kangaskhan [Reverse Holo] #6,Kangaskhan,6,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/kangaskhan-reverse-holo-6
Fire Red And Leaf Green,Magneton #27,Magneton,27,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/magneton-27
Fire Red And Leaf Green,Nidoqueen [Reverse Holo] #9,Nidoqueen,9,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoqueen-reverse-holo-9
Fire Red And Leaf Green,Primeape [Reverse Holo] #28,Primeape,28,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/primeape-reverse-holo-28
Fire Red And Leaf Green,Exeggutor [Reverse Holo] #5,Exeggutor,5,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/exeggutor-reverse-holo-5
Fire Red And Leaf Green,Magneton [Reverse Holo] #27,Magneton,27,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/magneton-reverse-holo-27
Fire Red And Leaf Green,Beedrill [Reverse Holo] #1,Beedrill,1,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/beedrill-reverse-holo-1
Fire Red And Leaf Green,Drowzee [Reverse Holo] #32,Drowzee,32,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/drowzee-reverse-holo-32
Fire Red And Leaf Green,Diglett #61,Diglett,61,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/diglett-61
Fire Red And Leaf Green,Tangela #30,Tangela,30,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/tangela-30
Fire Red And Leaf Green,Tangela [Reverse Holo] #30,Tangela,30,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/tangela-reverse-holo-30
Fire Red And Leaf Green,Weedle #86,Weedle,86,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/weedle-86
Fire Red And Leaf Green,Fearow [Reverse Holo] #24,Fearow,24,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/fearow-reverse-holo-24
Fire Red And Leaf Green,Poliwag [Reverse Holo] #75,Poliwag,75,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/poliwag-reverse-holo-75
Fire Red And Leaf Green,Krabby #66,Krabby,66,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/krabby-66
Fire Red And Leaf Green,Nidoran [F] [Reverse Holo] #70,Nidoran [F],70,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoran-f-reverse-holo-70
Fire Red And Leaf Green,Parasect #43,Parasect,43,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/parasect-43
Fire Red And Leaf Green,Poliwhirl #46,Poliwhirl,46,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/poliwhirl-46
Fire Red And Leaf Green,Farfetch'd [Reverse Holo] #23,Farfetch'd,23,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/farfetch%27d-reverse-holo-23
Fire Red And Leaf Green,Meowth #69,Meowth,69,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/meowth-69
Fire Red And Leaf Green,Rapidash [Reverse Holo] #13,Rapidash,13,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/rapidash-reverse-holo-13
Fire Red And Leaf Green,Kingler [Reverse Holo] #26,Kingler,26,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/kingler-reverse-holo-26
Fire Red And Leaf Green,Drowzee #32,Drowzee,32,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/drowzee-32
Fire Red And Leaf Green,Onix [Reverse Holo] #42,Onix,42,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/onix-reverse-holo-42
Fire Red And Leaf Green,Diglett [Reverse Holo] #61,Diglett,61,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/diglett-reverse-holo-61
Fire Red And Leaf Green,Magikarp [Incorrect Rarity] #67,Magikarp [Incorrect Rarity],67,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/magikarp-incorrect-rarity-67
Fire Red And Leaf Green,Poliwhirl [Reverse Holo] #46,Poliwhirl,46,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/poliwhirl-reverse-holo-46
Fire Red And Leaf Green,Dewgong [Reverse Holo] #3,Dewgong,3,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/dewgong-reverse-holo-3
Fire Red And Leaf Green,Cloyster [Reverse Holo] #20,Cloyster,20,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/cloyster-reverse-holo-20
Fire Red And Leaf Green,Victreebel [Reverse Holo] #17,Victreebel,17,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/victreebel-reverse-holo-17
Fire Red And Leaf Green,Nidorino [Reverse Holo] #41,Nidorino,41,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidorino-reverse-holo-41
Fire Red And Leaf Green,Krabby [Reverse Holo] #66,Krabby,66,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/krabby-reverse-holo-66
Fire Red And Leaf Green,Switch #102,Switch,102,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/switch-102
Fire Red And Leaf Green,Bellsprout #53,Bellsprout,53,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/bellsprout-53
Fire Red And Leaf Green,Nidoran #71,Nidoran,71,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoran-71
Fire Red And Leaf Green,Persian #44,Persian,44,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/persian-44
Fire Red And Leaf Green,Wigglytuff #52,Wigglytuff,52,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/wigglytuff-52
Fire Red And Leaf Green,Metapod [Reverse Holo] #39,Metapod,39,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/metapod-reverse-holo-39
Fire Red And Leaf Green,Pidgeotto #45,Pidgeotto,45,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pidgeotto-45
Fire Red And Leaf Green,Pidgeotto [Reverse Holo] #45,Pidgeotto,45,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pidgeotto-reverse-holo-45
Fire Red And Leaf Green,Mankey [Reverse Holo] #38,Mankey,38,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/mankey-reverse-holo-38
Fire Red And Leaf Green,Pidgey #73,Pidgey,73,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pidgey-73
Fire Red And Leaf Green,Pidgey [Reverse Holo] #73,Pidgey,73,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/pidgey-reverse-holo-73
Fire Red And Leaf Green,Weepinbell #51,Weepinbell,51,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/weepinbell-51
Fire Red And Leaf Green,Nidorina #40,Nidorina,40,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidorina-40
Fire Red And Leaf Green,Porygon [Reverse Holo] #47,Porygon,47,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/porygon-reverse-holo-47
Fire Red And Leaf Green,Nidoran [F] #70,Nidoran [F],70,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidoran-f-70
Fire Red And Leaf Green,Ponyta #76,Ponyta,76,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/ponyta-76
Fire Red And Leaf Green,Tauros [Reverse Holo] #16,Tauros,16,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/tauros-reverse-holo-16
Fire Red And Leaf Green,Chansey #19,Chansey,19,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/chansey-19
Fire Red And Leaf Green,Dodrio [Reverse Holo] #21,Dodrio,21,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/dodrio-reverse-holo-21
Fire Red And Leaf Green,Exeggcute [Reverse Holo] #33,Exeggcute,33,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/exeggcute-reverse-holo-33
Fire Red And Leaf Green,Porygon #47,Porygon,47,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/porygon-47
Fire Red And Leaf Green,Venomoth [Reverse Holo] #49,Venomoth,49,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/venomoth-reverse-holo-49
Fire Red And Leaf Green,Caterpie #56,Caterpie,56,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/caterpie-56
Fire Red And Leaf Green,Weedle [Reverse Holo] #86,Weedle,86,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/weedle-reverse-holo-86
Fire Red And Leaf Green,Hypno #25,Hypno,25,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/hypno-25
Fire Red And Leaf Green,Caterpie [Reverse Holo] #56,Caterpie,56,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/caterpie-reverse-holo-56
Fire Red And Leaf Green,Rattata #77,Rattata,77,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/rattata-77
Fire Red And Leaf Green,Parasect [Reverse Holo] #43,Parasect,43,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/parasect-reverse-holo-43
Fire Red And Leaf Green,Wigglytuff [Reverse Holo] #52,Wigglytuff,52,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/wigglytuff-reverse-holo-52
Fire Red And Leaf Green,Cloyster #20,Cloyster,20,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/cloyster-20
Fire Red And Leaf Green,Kakuna [Reverse Holo] #36,Kakuna,36,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/kakuna-reverse-holo-36
Fire Red And Leaf Green,Shellder [Reverse Holo] #79,Shellder,79,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/shellder-reverse-holo-79
Fire Red And Leaf Green,Weepinbell [Reverse Holo] #51,Weepinbell,51,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/weepinbell-reverse-holo-51
Fire Red And Leaf Green,Seel #78,Seel,78,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/seel-78
Fire Red And Leaf Green,Raticate [Reverse Holo] #48,Raticate,48,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/raticate-reverse-holo-48
Fire Red And Leaf Green,Raticate #48,Raticate,48,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/raticate-48
Fire Red And Leaf Green,Celio's Network #88,Celio's Network,88,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/celio's-network-88
Fire Red And Leaf Green,Professor Oak's Research [Professor Program] #98,Professor Oak's Research [Professor Program],98,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/professor-oak's-research-professor-program-98
Fire Red And Leaf Green,Paras [Reverse Holo] #72,Paras,72,Reverse Holo,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/paras-reverse-holo-72
Fire Red And Leaf Green,Spearow #81,Spearow,81,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/spearow-81
Fire Red And Leaf Green,Exeggcute #33,Exeggcute,33,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/exeggcute-33
Fire Red And Leaf Green,Kakuna #36,Kakuna,36,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/kakuna-36
Fire Red And Leaf Green,Nidorino #41,Nidorino,41,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/nidorino-41
Fire Red And Leaf Green,Potion #101,Potion,101,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/potion-101
Fire Red And Leaf Green,Dugtrio #22,Dugtrio,22,Normal,https://www.pricecharting.com/game/pokemon-fire-red-&-leaf-green/dugtrio-22
