cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice,patternType,tagName,isLegendary,isMythical,isStarter,isEeveelution,isMascot,isWaifuTrainer
Snorlax - 051,Snorlax 051,051,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,24.69,none,Snorlax 051,False,False,False,False,False,False
Snorlax - 051 (Pokemon Center Exclusive),Snorlax 051 Pokemon Center Exclusive,051,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,288.71,none,Snorlax 051 Pokemon Center Exclusive,False,False,False,False,False,False
Bulbasaur - 046 (Cosmos Holo),Bulbasaur 046 Cosmos Holo,046,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,1.48,none,Bulbasaur 046 Cosmos Holo,False,False,False,False,False,False
Charmander - 047 (Cosmos Holo),Charmander 047 Cosmos Holo,047,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,1.45,none,Charmander 047 Cosmos Holo,False,False,False,False,False,False
Squirtle - 048 (Cosmos Holo),Squirtle 048 Cosmos Holo,048,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,1.65,none,Squirtle 048 Cosmos Holo,False,False,False,False,False,False
Pikachu with Grey Felt Hat,Pikachu with Grey Felt Hat,085,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,946.18,none,Pikachu with Grey Felt Hat,False,False,False,False,False,False
Paradise Resort - 045 (World Championships 2023),Paradise Resort 045 World Championships 2023,045,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,599.98,none,Paradise Resort 045 World Championships 2023,False,False,False,False,False,False
Alakazam ex - 050,Alakazam ex 050,050,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,0.87,none,Alakazam ex 050,False,False,False,False,False,False
Zapdos ex - 049,Zapdos ex 049,049,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.73,none,Zapdos ex 049,False,False,False,False,False,False
Mew ex - 053,Mew ex 053,053,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,81.31,none,Mew ex 053,False,False,False,False,False,False
Mewtwo - 052,Mewtwo 052,052,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,52.22,none,Mewtwo 052,False,False,False,False,False,False
Greninja ex - 054,Greninja ex 054,054,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,4.98,none,Greninja ex 054,False,False,False,False,False,False
Kangaskhan ex - 055,Kangaskhan ex 055,055,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,7.6,none,Kangaskhan ex 055,False,False,False,False,False,False
Charizard ex - 056,Charizard ex 056,056,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 2,Promo,Holofoil,13.9,none,Charizard ex 056,False,False,False,False,False,False
Pawmot - 006 (Prerelease) [Staff],Pawmot 006 Prerelease Staff,006,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 2,Promo,Holofoil,37.04,none,Pawmot 006 Prerelease Staff,False,False,False,False,False,False
Hawlucha - 007 (Prerelease) [Staff],Hawlucha 007 Prerelease Staff,007,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,116.38,none,Hawlucha 007 Prerelease Staff,False,False,False,False,False,False
Quaquaval - 005 (Prerelease) [Staff],Quaquaval 005 Prerelease Staff,005,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,28.13,none,Quaquaval 005 Prerelease Staff,False,False,False,False,False,False
Oddish - 102,Oddish 102,102,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Normal,5.54,none,Oddish 102,False,False,False,False,False,False
Chi-Yu - 057 (Prerelease),Chi Yu 057 Prerelease,057,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,2.9,none,Chi Yu 057 Prerelease,False,False,False,False,False,False
Iron Bundle - 058 (Prerelease),Iron Bundle 058 Prerelease,058,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,2.26,none,Iron Bundle 058 Prerelease,False,False,False,False,False,False
Xatu - 059 (Prerelease),Xatu 059 Prerelease,059,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Rare,Holofoil,1.93,none,Xatu 059 Prerelease,False,False,False,False,False,False
Aegislash - 060 (Prerelease),Aegislash 060 Prerelease,060,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 2,Promo,Holofoil,1.18,none,Aegislash 060 Prerelease,False,False,False,False,False,False
Pineco - 061,Pineco 061,061,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,0.28,none,Pineco 061,False,False,False,False,False,False
Sinistea - 062,Sinistea 062,062,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.3,none,Sinistea 062,False,False,False,False,False,False
Cetitan - 063,Cetitan 063,063,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.46,none,Cetitan 063,False,False,False,False,False,False
Arctibax - 064,Arctibax 064,064,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.82,none,Arctibax 064,False,False,False,False,False,False
Scream Tail - 065,Scream Tail 065,065,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,6.17,none,Scream Tail 065,False,False,False,False,False,False
Scream Tail - 065 (Pokemon Center Exclusive),Scream Tail 065 Pokemon Center Exclusive,065,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,39.49,none,Scream Tail 065 Pokemon Center Exclusive,False,False,False,False,False,False
Iron Bundle - 066,Iron Bundle 066,066,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,2.35,none,Iron Bundle 066,False,False,False,False,False,False
Iron Bundle - 066 (Pokemon Center Exclusive),Iron Bundle 066 Pokemon Center Exclusive,066,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,31.74,none,Iron Bundle 066 Pokemon Center Exclusive,False,False,False,False,False,False
Murkrow - 021 (Prerelease) [Staff],Murkrow 021 Prerelease Staff,021,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,33.02,none,Murkrow 021 Prerelease Staff,False,False,False,False,False,False
Pelipper - 022 (Prerelease) [Staff],Pelipper 022 Prerelease Staff,022,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,28.28,none,Pelipper 022 Prerelease Staff,False,False,False,False,False,False
Roaring Moon ex - 067,Roaring Moon ex 067,067,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.92,none,Roaring Moon ex 067,False,False,False,False,False,False
Iron Valiant ex - 068,Iron Valiant ex 068,068,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.65,none,Iron Valiant ex 068,False,False,False,False,False,False
Pikachu - 101,Pikachu 101,101,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,35.27,none,Pikachu 101,False,False,False,False,False,False
Varoom - 026 (Cosmos Holo),Varoom 026 Cosmos Holo,026,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,0.33,none,Varoom 026 Cosmos Holo,False,False,False,False,False,False
Mimikyu - 075,Mimikyu 075,075,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,14.28,none,Mimikyu 075,False,False,False,False,False,False
Mimikyu - 075 (Pokemon Center Exclusive),Mimikyu 075 Pokemon Center Exclusive,075,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,77.25,none,Mimikyu 075 Pokemon Center Exclusive,False,False,False,False,False,False
Fidough - 069,Fidough 069,069,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.77,none,Fidough 069,False,False,False,False,False,False
Greavard - 070,Greavard 070,070,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.53,none,Greavard 070,False,False,False,False,False,False
Maschiff - 071,Maschiff 071,071,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.49,none,Maschiff 071,False,False,False,False,False,False
Fuecoco - 079,Fuecoco 079,079,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,3.85,none,Fuecoco 079,False,False,False,False,False,False
Sprigatito - 076,Sprigatito 076,076,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,5.9,none,Sprigatito 076,False,False,False,False,False,False
Quaxwell - 083,Quaxwell 083,083,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,1.02,none,Quaxwell 083,False,False,False,False,False,False
Quaquaval ex - 084,Quaquaval ex 084,084,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,2.13,none,Quaquaval ex 084,False,False,False,False,False,False
Quaxly - 082,Quaxly 082,082,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,1.93,none,Quaxly 082,False,False,False,False,False,False
Skeledirge ex - 081,Skeledirge ex 081,081,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,2.9,none,Skeledirge ex 081,False,False,False,False,False,False
Meowscarada ex - 078,Meowscarada ex 078,078,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 2,Promo,Holofoil,4.0,none,Meowscarada ex 078,False,False,False,False,False,False
Floragato - 077,Floragato 077,077,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,2.43,none,Floragato 077,False,False,False,False,False,False
Crocalor - 080,Crocalor 080,080,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,1.73,none,Crocalor 080,False,False,False,False,False,False
Great Tusk ex - 072,Great Tusk ex 072,072,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,1.08,none,Great Tusk ex 072,False,False,False,False,False,False
Iron Treads ex - 073,Iron Treads ex 073,073,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,0.88,none,Iron Treads ex 073,False,False,False,False,False,False
Charizard ex - 074,Charizard ex 074,074,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 2,Promo,Holofoil,22.71,none,Charizard ex 074,False,False,False,False,False,False
Mabosstiff ex - 086,Mabosstiff ex 086,086,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 1,Promo,Holofoil,0.44,none,Mabosstiff ex 086,False,False,False,False,False,False
Sprigatito ex - 087,Sprigatito ex 087,087,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,1.09,none,Sprigatito ex 087,False,False,False,False,False,False
Pikachu - 088,Pikachu 088,088,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,31.77,none,Pikachu 088,False,False,False,False,False,False
Flutter Mane - 097,Flutter Mane 097,097,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,2.36,none,Flutter Mane 097,False,False,False,False,False,False
Flutter Mane - 097 (Pokemon Center),Flutter Mane 097 Pokemon Center,097,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,34.42,none,Flutter Mane 097 Pokemon Center,False,False,False,False,False,False
Iron Thorns - 098,Iron Thorns 098,098,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,2.32,none,Iron Thorns 098,False,False,False,False,False,False
Iron Thorns - 098 (Pokemon Center),Iron Thorns 098 Pokemon Center,098,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,37.38,none,Iron Thorns 098 Pokemon Center,False,False,False,False,False,False
Feraligatr - 089 (Prerelease),Feraligatr 089 Prerelease,089,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,7.78,none,Feraligatr 089 Prerelease,False,False,False,False,False,False
Metang - 090 (Prerelease),Metang 090 Prerelease,090,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,3.53,none,Metang 090 Prerelease,False,False,False,False,False,False
Koraidon - 091 (Prerelease),Koraidon 091 Prerelease,091,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,2.91,none,Koraidon 091 Prerelease,False,False,False,False,False,False
Miraidon - 092 (Prerelease),Miraidon 092 Prerelease,092,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,3.24,none,Miraidon 092 Prerelease,False,False,False,False,False,False
Carvanha - 093,Carvanha 093,093,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,0.27,none,Carvanha 093,False,False,False,False,False,False
Bellibolt - 094,Bellibolt 094,094,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,0.33,none,Bellibolt 094,False,False,False,False,False,False
Cleffa - 095,Cleffa 095,095,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,1.26,none,Cleffa 095,False,False,False,False,False,False
Cyclizar - 096,Cyclizar 096,096,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,0.36,none,Cyclizar 096,False,False,False,False,False,False
Iono - 124,Iono 124,124,Scarlet & Violet Promos,Scarlet & Violet,trainer,Supporter,,Promo,Holofoil,12.94,none,Iono 124,False,False,False,False,False,False
Grafaiai ex - 100,Grafaiai ex 100,100,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,0.81,none,Grafaiai ex 100,False,False,False,False,False,False
Shroodle - 099,Shroodle 099,099,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,0.33,none,Shroodle 099,False,False,False,False,False,False
Houndoom ex - 103,Houndoom ex 103,103,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 1,Promo,Holofoil,2.9,none,Houndoom ex 103,False,False,False,False,False,False
Melmetal ex - 104,Melmetal ex 104,104,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,1.5,none,Melmetal ex 104,False,False,False,False,False,False
Armarouge ex - 125,Armarouge ex 125,125,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,1.02,none,Armarouge ex 125,False,False,False,False,False,False
Koraidon - 091 (Prerelease) [Staff],Koraidon 091 Prerelease Staff,091,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,27.0,none,Koraidon 091 Prerelease Staff,False,False,False,False,False,False
Miraidon - 092 (Prerelease) [Staff],Miraidon 092 Prerelease Staff,092,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,24.35,none,Miraidon 092 Prerelease Staff,False,False,False,False,False,False
Feraligatr - 089 (Prerelease) [Staff],Feraligatr 089 Prerelease Staff,089,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,55.13,none,Feraligatr 089 Prerelease Staff,False,False,False,False,False,False
Metang - 090 (Prerelease) [Staff],Metang 090 Prerelease Staff,090,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,19.81,none,Metang 090 Prerelease Staff,False,False,False,False,False,False
