cardName,tagName,pokemonGeneration,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,patternType,isLegendary,isMythical,isStarter,isEeveelution,isWaifuTrainer,marketPrice,logMarketPrice
Nincada,Nincada,gen3,016/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.11,-2.207275
Ninjask - 017/132,Ninjask,gen3,017/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221
Ninjask - 017/132,Ninjask,gen3,017/132,Mega Evolution,Mega Evolution,pokemon,Grass,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.02,-3.912023
Dhelmise,Dhelmise,gen7,018/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876
Dhelmise,Dhelmise,gen7,018/132,Mega Evolution,Mega Evolution,pokemon,Grass,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221
Vulpix - 019/132,Vulpix,gen1,019/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.08,-2.525729
Vulpix - 019/132,Vulpix,gen1,019/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.26,-1.347074
Ninetales,Ninetales,gen1,020/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.12,-2.120264
Ninetales,Ninetales,gen1,020/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.24,-1.427116
Numel,Numel,gen3,021/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Numel,Numel,gen3,021/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411
Mega Camerupt ex - 022/132,Camerupt,gen3,022/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,0.55,-0.597837
Litleo - 023/132,Litleo,gen6,023/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Litleo - 023/132,Litleo,gen6,023/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.07,-2.65926
Pyroar,Pyroar,gen6,024/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.06,-2.813411
Pyroar,Pyroar,gen6,024/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Volcanion,Volcanion,gen6,025/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Normal,none,False,True,False,False,False,0.1,-2.302585
Volcanion,Volcanion,gen6,025/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Reverse Holofoil,none,False,True,False,False,False,0.21,-1.560648
Scorbunny,Scorbunny,gen8,026/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.19,-1.660731
Scorbunny,Scorbunny,gen8,026/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,True,False,False,0.08,-2.525729
Raboot,Raboot,gen8,027/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Common,Normal,none,False,False,True,False,False,0.13,-2.040221
Raboot,Raboot,gen8,027/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.18,-1.714798
Cinderace,Cinderace,gen8,028/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 2,Rare,Holofoil,none,False,False,True,False,False,0.14,-1.966113
Cinderace,Cinderace,gen8,028/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 2,Rare,Reverse Holofoil,none,False,False,True,False,False,0.21,-1.560648
Sizzlipede,Sizzlipede,gen8,029/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Sizzlipede,Sizzlipede,gen8,029/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732
Centiskorch,Centiskorch,gen8,030/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876
Centiskorch,Centiskorch,gen8,030/132,Mega Evolution,Mega Evolution,pokemon,Fire,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221
Chi-Yu,Chi-Yu,gen9,031/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Normal,none,True,False,False,False,False,0.07,-2.65926
Chi-Yu,Chi-Yu,gen9,031/132,Mega Evolution,Mega Evolution,pokemon,Fire,Basic,Uncommon,Reverse Holofoil,none,True,False,False,False,False,0.11,-2.207275
Mantine,Mantine,gen2,032/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.2,-1.609438
Mantine,Mantine,gen2,032/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.08,-2.525729
Corphish,Corphish,gen3,033/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876
Corphish,Corphish,gen3,033/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.1,-2.302585
Kyogre,Kyogre,gen3,034/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Rare,Holofoil,none,True,False,False,False,False,0.19,-1.660731
Kyogre,Kyogre,gen3,034/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Rare,Reverse Holofoil,none,True,False,False,False,False,0.22,-1.514128
Snover - 035/132,Snover,gen4,035/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946
Snover - 035/132,Snover,gen4,035/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Mega Abomasnow ex - 036/132,Abomasnow,gen4,036/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,0.54,-0.616186
Clauncher,Clauncher,gen6,037/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411
Clauncher,Clauncher,gen6,037/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Clawitzer - 038/132,Clawitzer,gen6,038/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Rare,Holofoil,none,False,False,False,False,False,0.09,-2.407946
Clawitzer - 038/132,Clawitzer,gen6,038/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Rare,Reverse Holofoil,none,False,False,False,False,False,0.2,-1.609438
Sobble,Sobble,gen8,039/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,True,False,False,0.06,-2.813411
Sobble,Sobble,gen8,039/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,True,False,False,0.13,-2.040221
Drizzile,Drizzile,gen8,040/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Common,Normal,none,False,False,True,False,False,0.06,-2.813411
Drizzile,Drizzile,gen8,040/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Common,Reverse Holofoil,none,False,False,True,False,False,0.22,-1.514128
Inteleon - 041/132,Inteleon,gen8,041/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 2,Uncommon,Normal,none,False,False,True,False,False,0.11,-2.207275
Inteleon - 041/132,Inteleon,gen8,041/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 2,Uncommon,Reverse Holofoil,none,False,False,True,False,False,0.16,-1.832581
Snom,Snom,gen8,042/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275
Snom,Snom,gen8,042/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Frosmoth,Frosmoth,gen8,043/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.09,-2.407946
Frosmoth,Frosmoth,gen8,043/132,Mega Evolution,Mega Evolution,pokemon,Water,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Eiscue,Eiscue,gen8,044/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275
Eiscue,Eiscue,gen8,044/132,Mega Evolution,Mega Evolution,pokemon,Water,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113
Magnemite,Magnemite,gen1,045/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.16,-1.832581
Magnemite,Magnemite,gen1,045/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275
Magneton,Magneton,gen1,046/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Magneton,Magneton,gen1,046/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Normal,none,False,False,False,False,False,0.09,-2.407946
Magnezone,Magnezone,gen4,047/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 2,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221
Magnezone,Magnezone,gen4,047/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 2,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876
Raikou,Raikou,gen2,048/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Rare,Holofoil,none,True,False,False,False,False,0.17,-1.771957
Raikou,Raikou,gen2,048/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Rare,Reverse Holofoil,none,True,False,False,False,False,0.21,-1.560648
Electrike,Electrike,gen3,049/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946
Electrike,Electrike,gen3,049/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Mega Manectric ex - 050/132,Manectric,gen3,050/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,0.62,-0.478036
Pachirisu,Pachirisu,gen4,051/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Pachirisu,Pachirisu,gen4,051/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946
Helioptile - 052/132,Helioptile,gen6,052/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Normal,none,False,False,False,False,False,0.09,-2.407946
Helioptile - 052/132,Helioptile,gen6,052/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Heliolisk,Heliolisk,gen6,053/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113
Heliolisk,Heliolisk,gen6,053/132,Mega Evolution,Mega Evolution,pokemon,Lightning,Stage 1,Common,Normal,none,False,False,False,False,False,0.07,-2.65926
Abra,Abra,gen1,054/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.16,-1.832581
Abra,Abra,gen1,054/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.26,-1.347074
Kadabra,Kadabra,gen1,055/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.17,-1.771957
Kadabra,Kadabra,gen1,055/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.28,-1.272966
Alakazam,Alakazam,gen1,056/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 2,Rare,Holofoil,none,False,False,False,False,False,0.2,-1.609438
Alakazam,Alakazam,gen1,056/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 2,Rare,Reverse Holofoil,none,False,False,False,False,False,0.32,-1.139434
Jynx,Jynx,gen1,057/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.12,-2.120264
Jynx,Jynx,gen1,057/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411
Ralts,Ralts,gen3,058/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.2,-1.609438
Ralts,Ralts,gen3,058/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.24,-1.427116
Kirlia,Kirlia,gen3,059/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Common,Normal,none,False,False,False,False,False,0.25,-1.386294
Kirlia,Kirlia,gen3,059/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.29,-1.237874
Mega Gardevoir ex - 060/132,Gardevoir,gen3,060/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 2,Double Rare,Holofoil,none,False,False,False,False,False,0.59,-0.527633
Shedinja - 061/132,Shedinja,gen3,061/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.23,-1.469676
Shedinja - 061/132,Shedinja,gen3,061/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.07,-2.65926
Spoink,Spoink,gen3,062/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Spoink,Spoink,gen3,062/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.06,-2.813411
Grumpig,Grumpig,gen3,063/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.12,-2.120264
Grumpig,Grumpig,gen3,063/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.05,-2.995732
Xerneas,Xerneas,gen6,064/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Rare,Holofoil,none,True,False,False,False,False,0.11,-2.207275
Xerneas,Xerneas,gen6,064/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Rare,Reverse Holofoil,none,True,False,False,False,False,0.16,-1.832581
Greavard,Greavard,gen9,065/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.08,-2.525729
Greavard,Greavard,gen9,065/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Houndstone - 066/132,Houndstone,gen9,066/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.14,-1.966113
Houndstone - 066/132,Houndstone,gen9,066/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Stage 1,Uncommon,Normal,none,False,False,False,False,False,0.07,-2.65926
Gimmighoul,Gimmighoul,gen9,067/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Normal,none,False,False,False,False,False,0.04,-3.218876
Gimmighoul,Gimmighoul,gen9,067/132,Mega Evolution,Mega Evolution,pokemon,Psychic,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.11,-2.207275
Sandshrew,Sandshrew,gen1,068/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.13,-2.040221
Sandshrew,Sandshrew,gen1,068/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.22,-1.514128
Sandslash,Sandslash,gen1,069/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Normal,none,False,False,False,False,False,0.06,-2.813411
Sandslash,Sandslash,gen1,069/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.29,-1.237874
Onix,Onix,gen1,070/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Onix,Onix,gen1,070/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.07,-2.65926
Tyrogue,Tyrogue,gen2,071/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.1,-2.302585
Tyrogue,Tyrogue,gen2,071/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.2,-1.609438
Makuhita,Makuhita,gen3,072/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.24,-1.427116
Makuhita,Makuhita,gen3,072/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.22,-1.514128
Hariyama,Hariyama,gen3,073/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Rare,Holofoil,none,False,False,False,False,False,0.26,-1.347074
Hariyama,Hariyama,gen3,073/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Rare,Reverse Holofoil,none,False,False,False,False,False,0.19,-1.660731
Lunatone,Lunatone,gen3,074/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Rare,Reverse Holofoil,none,False,False,False,False,False,0.27,-1.309333
Lunatone,Lunatone,gen3,074/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Rare,Holofoil,none,False,False,False,False,False,0.24,-1.427116
Solrock,Solrock,gen3,075/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Uncommon,Normal,none,False,False,False,False,False,0.28,-1.272966
Solrock,Solrock,gen3,075/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.26,-1.347074
Riolu,Riolu,gen4,076/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.19,-1.660731
Riolu,Riolu,gen4,076/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.35,-1.049822
Mega Lucario ex - 077/132,Lucario,gen4,077/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Double Rare,Holofoil,none,False,False,False,False,False,1.23,0.207014
Croagunk,Croagunk,gen4,078/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.21,-1.560648
Croagunk,Croagunk,gen4,078/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.05,-2.995732
Toxicroak,Toxicroak,gen4,079/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Normal,none,False,False,False,False,False,0.08,-2.525729
Toxicroak,Toxicroak,gen4,079/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.16,-1.832581
Marshadow - 080/132,Marshadow,gen7,080/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Uncommon,Normal,none,False,True,False,False,False,0.07,-2.65926
Marshadow - 080/132,Marshadow,gen7,080/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Uncommon,Reverse Holofoil,none,False,True,False,False,False,0.12,-2.120264
Stonjourner,Stonjourner,gen8,081/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.17,-1.771957
Stonjourner,Stonjourner,gen8,081/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Uncommon,Normal,none,False,False,False,False,False,0.07,-2.65926
Nacli,Nacli,gen9,082/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Normal,none,False,False,False,False,False,0.11,-2.207275
Nacli,Nacli,gen9,082/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Basic,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Naclstack,Naclstack,gen9,083/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Reverse Holofoil,none,False,False,False,False,False,0.18,-1.714798
Naclstack,Naclstack,gen9,083/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 1,Common,Normal,none,False,False,False,False,False,0.18,-1.714798
Garganacl - 084/132,Garganacl,gen9,084/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 2,Uncommon,Normal,none,False,False,False,False,False,0.04,-3.218876
Garganacl - 084/132,Garganacl,gen9,084/132,Mega Evolution,Mega Evolution,pokemon,Fighting,Stage 2,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.13,-2.040221
Crawdaunt,Crawdaunt,gen3,085/132,Mega Evolution,Mega Evolution,pokemon,Darkness,Stage 1,Uncommon,Reverse Holofoil,none,False,False,False,False,False,0.16,-1.832581
