cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Palafin - 036 (Prerelease) [Staff],Palafin 036 Prerelease Staff,036,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,38.1
Togekiss - 038 (Prerelease),Togekiss 038 Prerelease,038,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,5.23
Togekiss - 038 (Prerelease) [Staff],Togekiss 038 Prerelease Staff,038,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,33.63
Mawile - 039 (Prerelease),Mawile 039 Prerelease,039,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,3.91
Mawile - 039 (Prerelease) [Staff],Mawile 039 Prerelease Staff,039,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,52.48
Skeledirge ex - 034,Skeledirge ex 034,034,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,0.91
Quaquaval ex - 035,Quaquaval ex 035,035,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,0.66
Meowscarada ex - 033,Meowscarada ex 033,033,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 2,Promo,Holofoil,1.0
Baxcalibur - 019 (Prerelease) [Staff],Baxcalibur 019 Prerelease Staff,019,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,40.44
Revavroom - 008 (Prerelease) [Staff],Revavroom 008 Prerelease Staff,008,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,32.71
Snorlax - 051,Snorlax 051,051,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,24.69
Snorlax - 051 (Pokemon Center Exclusive),Snorlax 051 Pokemon Center Exclusive,051,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,288.71
Bulbasaur - 046 (Cosmos Holo),Bulbasaur 046 Cosmos Holo,046,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,1.48
Charmander - 047 (Cosmos Holo),Charmander 047 Cosmos Holo,047,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,1.45
Squirtle - 048 (Cosmos Holo),Squirtle 048 Cosmos Holo,048,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,1.65
Pikachu with Grey Felt Hat,Pikachu with Grey Felt Hat,085,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,946.18
Paradise Resort - 045 (World Championships 2023),Paradise Resort 045 World Championships 2023,045,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,599.98
Alakazam ex - 050,Alakazam ex 050,050,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,0.87
Zapdos ex - 049,Zapdos ex 049,049,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.73
Mew ex - 053,Mew ex 053,053,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,81.31
Mewtwo - 052,Mewtwo 052,052,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,52.22
Greninja ex - 054,Greninja ex 054,054,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,4.98
Kangaskhan ex - 055,Kangaskhan ex 055,055,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,7.6
Charizard ex - 056,Charizard ex 056,056,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 2,Promo,Holofoil,13.9
Pawmot - 006 (Prerelease) [Staff],Pawmot 006 Prerelease Staff,006,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 2,Promo,Holofoil,37.04
Hawlucha - 007 (Prerelease) [Staff],Hawlucha 007 Prerelease Staff,007,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,116.38
Quaquaval - 005 (Prerelease) [Staff],Quaquaval 005 Prerelease Staff,005,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,28.13
Oddish - 102,Oddish 102,102,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Normal,5.54
Chi-Yu - 057 (Prerelease),Chi Yu 057 Prerelease,057,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,2.9
Iron Bundle - 058 (Prerelease),Iron Bundle 058 Prerelease,058,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,2.26
Xatu - 059 (Prerelease),Xatu 059 Prerelease,059,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Rare,Holofoil,1.93
Aegislash - 060 (Prerelease),Aegislash 060 Prerelease,060,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 2,Promo,Holofoil,1.18
Pineco - 061,Pineco 061,061,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,0.28
Sinistea - 062,Sinistea 062,062,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.3
Cetitan - 063,Cetitan 063,063,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.46
Arctibax - 064,Arctibax 064,064,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.82
Scream Tail - 065,Scream Tail 065,065,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,6.17
Scream Tail - 065 (Pokemon Center Exclusive),Scream Tail 065 Pokemon Center Exclusive,065,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,39.49
Iron Bundle - 066,Iron Bundle 066,066,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,2.35
Iron Bundle - 066 (Pokemon Center Exclusive),Iron Bundle 066 Pokemon Center Exclusive,066,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,31.74
Murkrow - 021 (Prerelease) [Staff],Murkrow 021 Prerelease Staff,021,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,33.02
Pelipper - 022 (Prerelease) [Staff],Pelipper 022 Prerelease Staff,022,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,28.28
Roaring Moon ex - 067,Roaring Moon ex 067,067,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.92
Iron Valiant ex - 068,Iron Valiant ex 068,068,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.65
Pikachu - 101,Pikachu 101,101,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,35.27
Varoom - 026 (Cosmos Holo),Varoom 026 Cosmos Holo,026,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,0.33
Mimikyu - 075,Mimikyu 075,075,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,14.28
Mimikyu - 075 (Pokemon Center Exclusive),Mimikyu 075 Pokemon Center Exclusive,075,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,77.25
Fidough - 069,Fidough 069,069,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.77
Greavard - 070,Greavard 070,070,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.53
Maschiff - 071,Maschiff 071,071,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.49
Fuecoco - 079,Fuecoco 079,079,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,3.85
Sprigatito - 076,Sprigatito 076,076,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,5.9
Quaxwell - 083,Quaxwell 083,083,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,1.02
Quaquaval ex - 084,Quaquaval ex 084,084,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,2.13
Quaxly - 082,Quaxly 082,082,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,1.93
Skeledirge ex - 081,Skeledirge ex 081,081,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,2.9
Meowscarada ex - 078,Meowscarada ex 078,078,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 2,Promo,Holofoil,4.0
Floragato - 077,Floragato 077,077,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,2.43
Crocalor - 080,Crocalor 080,080,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,1.73
Great Tusk ex - 072,Great Tusk ex 072,072,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,1.08
Iron Treads ex - 073,Iron Treads ex 073,073,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,0.88
Charizard ex - 074,Charizard ex 074,074,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 2,Promo,Holofoil,22.71
Mabosstiff ex - 086,Mabosstiff ex 086,086,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 1,Promo,Holofoil,0.44
Sprigatito ex - 087,Sprigatito ex 087,087,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,1.09
Pikachu - 088,Pikachu 088,088,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,31.77
Flutter Mane - 097,Flutter Mane 097,097,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,2.36
Flutter Mane - 097 (Pokemon Center),Flutter Mane 097 Pokemon Center,097,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,34.42
Iron Thorns - 098,Iron Thorns 098,098,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,2.32
Iron Thorns - 098 (Pokemon Center),Iron Thorns 098 Pokemon Center,098,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,37.38
Feraligatr - 089 (Prerelease),Feraligatr 089 Prerelease,089,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,7.78
Metang - 090 (Prerelease),Metang 090 Prerelease,090,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,3.53
Koraidon - 091 (Prerelease),Koraidon 091 Prerelease,091,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,2.91
Miraidon - 092 (Prerelease),Miraidon 092 Prerelease,092,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,3.24
Carvanha - 093,Carvanha 093,093,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,0.27
Bellibolt - 094,Bellibolt 094,094,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,0.33
Cleffa - 095,Cleffa 095,095,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,1.26
Cyclizar - 096,Cyclizar 096,096,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,0.36
Iono - 124,Iono 124,124,Scarlet & Violet Promos,Scarlet & Violet,trainer,Supporter,,Promo,Holofoil,12.94
Grafaiai ex - 100,Grafaiai ex 100,100,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,0.81
Shroodle - 099,Shroodle 099,099,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,0.33
Houndoom ex - 103,Houndoom ex 103,103,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 1,Promo,Holofoil,2.9
Melmetal ex - 104,Melmetal ex 104,104,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,1.5
Armarouge ex - 125,Armarouge ex 125,125,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,1.02
Koraidon - 091 (Prerelease) [Staff],Koraidon 091 Prerelease Staff,091,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,27.0
Miraidon - 092 (Prerelease) [Staff],Miraidon 092 Prerelease Staff,092,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,24.35
Feraligatr - 089 (Prerelease) [Staff],Feraligatr 089 Prerelease Staff,089,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,55.13
Metang - 090 (Prerelease) [Staff],Metang 090 Prerelease Staff,090,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,19.81
Chi-Yu - 057 (Prerelease) [Staff],Chi Yu 057 Prerelease Staff,057,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,80.98
Iron Bundle - 058 (Prerelease) [Staff],Iron Bundle 058 Prerelease Staff,058,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,28.86
Xatu - 059 (Prerelease) [Staff],Xatu 059 Prerelease Staff,059,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,19.9
Aegislash - 060 (Prerelease) [Staff],Aegislash 060 Prerelease Staff,060,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 2,Promo,Holofoil,21.21
Picnicker - 114,Picnicker 114,114,Scarlet & Violet Promos,Scarlet & Violet,trainer,Trainer - Supporter,,Promo,Normal,0.34
Thwackey - 115,Thwackey 115,115,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,10.34
Infernape - 116,Infernape 116,116,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,4.19
Froslass - 117,Froslass 117,117,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,8.23
Tatsugiri - 118,Tatsugiri 118,118,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,7.62
Teal Mask Ogerpon - 123,Teal Mask Ogerpon 123,123,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,1.45
Teal Mask Ogerpon - 123 (Pokemon Center Exclusive),Teal Mask Ogerpon 123 Pokemon Center Exclusive,123,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,24.22
Sinistcha - 022/167 (Prerelease),Sinistcha 022 167 Prerelease,022/167,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,2.24
Pupitar - 120,Pupitar 120,120,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Stage 1,Promo,Holofoil,0.4
Toxel - 119,Toxel 119,119,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.47
Revavroom - 121,Revavroom 121,121,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,0.62
Snorlax - 122,Snorlax 122,122,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,7.16
Walking Wake ex - 127,Walking Wake ex 127,127,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,0.6
Iron Leaves ex - 128,Iron Leaves ex 128,128,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,0.63
Palafin ex - 126,Palafin ex 126,126,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.69
Revavroom - 121 (Cosmos Holo),Revavroom 121 Cosmos Holo,121,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 1,Promo,Holofoil,0.34
Arctibax - 064 (Cosmos Holo),Arctibax 064 Cosmos Holo,064,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.59
Cetitan - 063 (Cosmos Holo),Cetitan 063 Cosmos Holo,063,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.36
Greninja ex - 132,Greninja ex 132,132,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,105.47
Kingdra ex - 131,Kingdra ex 131,131,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Holofoil,83.26
Pecharunt - 149,Pecharunt 149,149,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.66
Kingambit - 130,Kingambit 130,130,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Stage 2,Promo,Holofoil,3.76
Pikachu - 190,Pikachu 190,190,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,9.99
Thwackey - 115 (Prerelease) [Staff],Thwackey 115 Prerelease Staff,115,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,24.67
Infernape - 116 (Prerelease) [Staff],Infernape 116 Prerelease Staff,116,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,46.12
Froslass - 117 (Prerelease) [Staff],Froslass 117 Prerelease Staff,117,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,36.61
Tatsugiri - 118 (Prerelease) [Staff],Tatsugiri 118 Prerelease Staff,118,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,55.82
Pecharunt - 129,Pecharunt 129,129,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,1.56
Pecharunt - 129 (Pokemon Center Exclusive),Pecharunt 129 Pokemon Center Exclusive,129,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,17.77
Ledian - 133,Ledian 133,133,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,3.02
Crabominable - 134,Crabominable 134,134/142,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,2.46
Drifblim - 135,Drifblim 135,135,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,3.41
Bouffalant - 136,Bouffalant 136,136,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,4.67
Paradise Resort - 150 (World Championships 2024),Paradise Resort 150 World Championships 2024,150,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,570.98
Noctowl - 141,Noctowl 141,141,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,3.98
Noctowl - 141 (Pokemon Center Exclusive),Noctowl 141 Pokemon Center Exclusive,141,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,35.82
Iron Crown ex - 146,Iron Crown ex 146,146,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.62
Gouging Fire ex - 144,Gouging Fire ex 144,144,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,0.75
Ledian - 133 (Prerelease) [Staff],Ledian 133 Prerelease Staff,133,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Reverse Holofoil,19.85
